380.0000,0.0036
382.0000,0.0072
384.0000,0.0054
386.0000,0.0036
388.0000,0.0054
390.0000,0.0054
392.0000,0.0054
394.0000,0.0072
396.0000,0.0072
398.0000,0.0072
400.0000,0.0091
402.0000,0.0109
404.0000,0.0127
406.0000,0.0145
408.0000,0.0163
410.0000,0.0217
412.0000,0.0272
414.0000,0.0362
416.0000,0.0435
418.0000,0.0562
420.0000,0.0707
422.0000,0.0888
424.0000,0.1087
426.0000,0.1341
428.0000,0.1649
430.0000,0.2029
432.0000,0.2482
434.0000,0.3007
436.0000,0.3569
438.0000,0.4293
440.0000,0.5018
442.0000,0.6069
444.0000,0.7138
446.0000,0.8370
448.0000,0.9438
450.0000,1.0000
452.0000,0.9783
454.0000,0.9004
456.0000,0.8025
458.0000,0.7065
460.0000,0.6377
462.0000,0.5924
464.0000,0.5562
466.0000,0.5163
468.0000,0.4764
470.0000,0.4366
472.0000,0.4022
474.0000,0.3804
476.0000,0.3696
478.0000,0.3659
480.0000,0.3768
482.0000,0.3895
484.0000,0.4040
486.0000,0.4239
488.0000,0.4475
490.0000,0.4710
492.0000,0.5018
494.0000,0.5308
496.0000,0.5598
498.0000,0.5942
500.0000,0.6178
502.0000,0.6467
504.0000,0.6721
506.0000,0.6938
508.0000,0.7156
510.0000,0.7428
